Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
WIj12zDqIbBucW1hXYhrew,King's Kitchen,92 E Broadway,"{'latitude': 40.71399, 'longitude': -73.99367}",272,4.0,10002,chinese
i4cyV13lYIS4mcJKZW75cA,Food Sing,172 Grand St,"{'latitude': 40.714324, 'longitude': -73.961257}",53,3.5,11211,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,"{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}",3997,4.0,10011,chinese
FvsFSGzbmV56gqtYY4ZfQQ,La Mian Lounge,25-12 Broadway,"{'latitude': 40.7631278063422, 'longitude': -73.9279485723007}",65,4.5,11106,chinese
7erFgHiQmw7ZJfVPmOjeeA,M Shanghai Bistro & Garden,292 Grand St,"{'latitude': 40.71293, 'longitude': -73.95757}",431,3.5,11211,chinese
tDYk6DmmU3buWBs9G0NBXQ,China Restaurant,937 Utica Ave,"{'latitude': 40.650260925293, 'longitude': -73.929931640625}",66,4.0,11203,chinese
zdX9mwhoknXXYL1GCstnow,Lucky Garden,305L Wyckoff Ave,"{'latitude': 40.7003, 'longitude': -73.91221}",13,4.5,11237,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao Chelsea,461 W 23RDST,"{'latitude': 40.7476138310811, 'longitude': -74.0035496218187}",655,4.5,10011,chinese
U74_3F7r3tMhd6dmTmDBxQ,Macao Trading,311 Church St,"{'latitude': 40.719623, 'longitude': -74.003904}",758,4.0,10013,chinese
NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,3600 Broadway,"{'latitude': 40.828384, 'longitude': -73.948674}",746,4.0,10031,chinese
GGRMY-twaqZf_NIAprBJkg,Junzi Kitchen,135 W 41st St,"{'latitude': 40.754886, 'longitude': -73.985688}",129,4.0,10036,chinese
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,118A Eldridge St,"{'latitude': 40.71839, 'longitude': -73.9917399}",2649,4.0,10002,chinese
ubeG-hyIV8qoSSAk_pAZ2A,No Pork Halal Kitchen,50 4th Ave,"{'latitude': 40.68332, 'longitude': -73.97936}",124,4.0,11217,chinese
qHi_FA4zSEkFshXQ4Chc9A,Jiang Diner,309 E 5th St,"{'latitude': 40.7268045, 'longitude': -73.9882662}",128,4.0,10003,chinese
C3tP0fNNAoxOAC3O406CXQ,Le Sia,651 9th Ave,"{'latitude': 40.76072, 'longitude': -73.99119}",39,4.5,10036,chinese
GmtybiZEicQ4qqPTzhqVew,Taste of China,7100 Grand Ave,"{'latitude': 40.72762, 'longitude': -73.892011}",72,3.5,11378,chinese
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,"{'latitude': 40.72412482724, 'longitude': -73.9828906263924}",503,4.5,10009,chinese
3gqKLANaXNsHZnPDjKrcTg,Win Son,159 Graham Ave,"{'latitude': 40.70747, 'longitude': -73.94339}",495,4.0,11206,chinese
4NCvsUR3cKLaPgIZJK622w,Chang Hong Chinese Restaurant,409 Irving Ave,"{'latitude': 40.696949, 'longitude': -73.910232}",12,4.0,11237,chinese
RkcQl4uEJWblWf4xX8ssqQ,Wa Jeal Sichuan Chili House,1588 2nd Ave,"{'latitude': 40.77536, 'longitude': -73.95317}",405,3.5,10028,chinese
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,"{'latitude': 40.734196, 'longitude': -74.006519}",424,4.0,10014,chinese
LJntAPKObO0OfydYm3_bzQ,Kings Co Imperial,168 1/2 Delancey St,"{'latitude': 40.7180159, 'longitude': -73.9853739}",71,4.0,10002,chinese
